id,title,date_earliest,date_latest,production_country,production_region,production_minting_place
00001,Tarent,-415,-390,Italien,Kalabrien,Tarent
00002,Kaulonia,-525,-500,Italien,Bruttium,Kaulonia
00003,So-(?),-525,-510,Italien,Lukanien,
00004,Kyme,-420,-380,Italien,Kampanien,Kyme
00005,Thurioi,-400,-350,Italien,Lukanien,Thurioi
00007,Metapont,-540,-500,Italien,Lukanien,Metapont
00008,Zankle (Messana),-520,-500,Italien,Sizilien,Messana-Messina
00009,Griechenland: 2002,1958,2002,Finnland,,Vantaa
00010,Italien: 2002,1958,2002,Italien,Latium,Rom
00011,Österreich: 2002,1954,2002,Österreich,Wien,Wien
00013,Spanien: 1999,1958,1616,Spanien,Kastilien,Madrid
00014,Bundesrepublik Deutschland: 2002,1958,2002,Deutschland,Brandenburg,Berlin
00015,Frankreich: 2002,1958,1999,Frankreich,Gironde,Pessac
00017,Persischer Großkönig,-500,-350,,Persis,
00018,Persischer Großkönig,-400,-330,,Persis,
00019,Persischer Satrap,-400,-330,Türkei,Kleinasien,
00022,Röm. Republik: L. Furius Brocchus,-63,-63,Italien,Italia,Rom
00023,Niederlande: 1999,1950,1999,Niederlande,Utrecht,Utrecht
00025,Bundesrepublik Deutschland: 2002,1958,2002,Deutschland,Brandenburg,Berlin
00027,Persischer Satrap (Keranos) in Soloi,-400,-375,Türkei,Kilikien,Soloi-Pompeiopolis
00028,Röm. Republik: L. Furius Brocchus,-63,-63,Italien,Italia,Rom
00029,Bundesrepublik Deutschland: 2002 Währungsunion,1944,2002,Deutschland,Baden-Württemberg,Stuttgart
00030,Gordianus III.,225,244,Italien,Italia,Rom
00031,Axum: Ouazebas,390,410,Äthiopien,Axum,Axum
00033,Bundesrepublik Deutschland: 2000 10 Jahre Deutsche Einheit,1942,2000,Deutschland,Bayern,München
00034,Ephesos,188,217,Türkei,Asia,Ephesos
00035,Bundesrepublik Deutschland: 2004 Europäische Union,2004,2004,Deutschland,Baden-Württemberg,Karlsruhe
00036,Pergamon,170,217,Türkei,Mysien,Pergamon
00037,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,Deutschland,Brandenburg,Berlin
00038,Severus Alexander,208,235,Italien,Italia,Rom
00039,Herennia Etruscilla,190,251,Italien,Italia,Rom
00040,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,Deutschland,Brandenburg,Berlin
00041,Bundesrepublik Deutschland: 2003 Quedlinburg,1948,2003,Deutschland,Brandenburg,Berlin
00042,Bundesrepublik Deutschland: 2004 Bamberg,2004,2004,Deutschland,Brandenburg,Berlin
00045,Persischer Satrap,-400,-330,,Persis,
00049,Persischer Satrap in Pergamon,-400,-333,Türkei,Mysien,Pergamon
00050,Persischer Satrap: Tissaphernes,-411,-395,Türkei,Karien,Astyra
00054,Diocletianus,245,313,Deutschland,Gallia,Trier
00055,Commodus,161,192,Italien,Italia,Rom
00056,Domitianus,51,96,Italien,Italia,Rom
00058,Divus Augustus,-63,14,Italien,Italia,Rom
00059,Divus Augustus,-63,14,Italien,Italia,Rom
00063,Bosporos: Rheskouporis III.,208,235,Ukraine,Bosporos,
00064,Röm. Republik: C. Calpurnius Piso Frugi,-67,-67,Italien,Italia,Rom
00065,Thrakien: Lysimachi,-297,-200,Türkei,Thrakien,
00066,Kaiserreich: 1915 Mansfeld,1859,1936,Deutschland,Brandenburg,Berlin
00067,Philippus I.,204,249,Italien,Italia,Rom
00068,Apameia,190,251,Türkei,Phrygien,Apameia (Kibotos)
00069,Kaiserreich: Bayern 1918,1845,1921,Deutschland,Bayern,München
00070,Pergamon,-123,-67,Türkei,Mysien,Pergamon
00071,Kaiserreich: Württemberg 1916,1872,1949,Deutschland,Württemberg,Stuttgart
00072,Pergamon,189,211,Türkei,Mysien,Pergamon
00073,Pergamon,188,217,Türkei,Mysien,Pergamon
00074,Kaiserreich: Württemberg 1911,1848,1921,Deutschland,Württemberg,Stuttgart
00075,Aspendos,-440,-420,Türkei,Pamphylien,Aspendos
00076,Seleukiden: Antiochos I.,-324,-261,Irak,Babylonien,Seleukia am Tigris
00077,Kaiserreich: Hessen 1904,1872,1943,Deutschland,Brandenburg,Berlin
00078,Makedonien: Alexandros III.,-188,-170,Türkei,Ionien,Temnos
00079,Side,-300,-100,Türkei,Pamphylien,Side
00080,Kaiserreich: Hessen 1917,1874,1943,Deutschland,Hessen,Berlin
00081,Augustus,-63,14,Frankreich,Gallia,Lyon
00082,Claudius,-10,54,Italien,Italia,Rom
00083,Caesarea: Nero,37,68,Türkei,Kappadokien,Caesarea (Kayseri)
00084,Kaiserreich: Mecklenburg-Schwerin 1904,1882,1945,Deutschland,Brandenburg,Berlin
00085,Caesarea: Nero,37,68,Türkei,Kappadokien,Caesarea (Kayseri)
00086,Kaiserreich: 1908 Universität Jena,1503,1554,Deutschland,Brandenburg,Berlin
00087,Gaza,146,211,Palästinensische Autonomiegebiete,Iudaea,Gaza
00088,Kaiserreich: Sachsen-Weimar-Eisenach 1915,1868,1922,Deutschland,Brandenburg,Berlin
00089,Pergamon,188,217,Türkei,Mysien,Pergamon
00091,Side,221,221,Türkei,Pamphylien,Side
00092,Elektron,-600,-500,Türkei,Kleinasien,
00093,Elektron,-600,-550,Türkei,Kleinasien,
00094,Elektron,-600,-550,Türkei,Lydien,
00095,Elektron,-600,-550,Türkei,Kleinasien,
00096,Elektron,-600,-550,Türkei,Kleinasien,
00097,Elektron,-600,-550,Türkei,Kleinasien,
00098,Elektron,-600,-550,Türkei,Kleinasien,
00099,Milet,-600,-550,Türkei,Ionien,Milet
00100,Milet,-600,-550,Türkei,Ionien,Milet
00101,Elektron,-600,-500,Türkei,Kleinasien,
00102,Elektron,-620,-500,Türkei,Kleinasien,
00103,Elektron,-620,-500,Türkei,Kleinasien,
00104,Elektron,-620,-500,Türkei,Kleinasien,
00105,Elektron,-600,-500,Türkei,Kleinasien,
00106,Athen?,-600,-500,Griechenland,Attika,Athen?
00107,Kyzikos,-600,-550,Türkei,Mysien,Kyzikos
00108,Kyzikos,-500,-400,Türkei,Mysien,Kyzikos
00109,Kyzikos,-500,-400,Türkei,Mysien,Kyzikos
00110,Chios?,-500,-400,Griechenland,Ionische Inseln,Chios?
00111,Lampsakos?,-460,-440,Türkei,Mysien,Lampsakos?
00112,Akragas,-413,-411,Italien,Sizilien,Akragas
00113,Gela,-480,-470,Italien,Sizilien,Gela
00114,Selinunt,-420,-420,Italien,Sizilien,Selinunt
00115,Syrakus,-406,-380,Italien,Sizilien,Syrakus
00116,Weimarer Republik: 1927 Bremerhaven,1865,1954,Deutschland,Brandenburg,Berlin
00117,Weimarer Republik: 1927 Nordhausen,895,936,Deutschland,Brandenburg,Berlin
00118,Weimarer Republik: 1929 Lessing,1871,1938,Deutschland,Brandenburg,Berlin
00119,Syrakus,406,-380,Italien,Sizilien,Syrakus
00120,Syrakus,-400,-370,Italien,Sizilien,Syrakus
00121,Phasis (Kolchis),-494,-400,Georgien,Kolchis,Phasis (Poti)
00122,Pantikapaion,-400,-300,Ukraine,Taurische Chersonesos,Pantikapaion
00123,Ainos,-478,-450,Türkei,Thrakien,Ainos
00124,Mende,-450,-400,Griechenland,Makedonien,Mende
00125,Makedonien: 1. Meris,-158,-150,Griechenland,Makedonien,Amphipolis
00126,Theben,-450,-400,Griechenland,Böotien,Theben
00130,Weimarer Republik: 1929 Verfassung,1871,1938,Deutschland,Brandenburg,Berlin
00131,Weimarer Republik: 1929 Graf Zeppelin,1896,1955,Deutschland,Brandenburg,Berlin
00132,Korinth,-478,-458,Griechenland,Achaia,Korinth
00133,Aigina,-400,-300,Griechenland,Attika (Inseln),Aigina
00135,Athen,-506,-490,Griechenland,Attika,Athen
00136,Athen,-480,-404,Griechenland,Attika,Athen
00137,Weimarer Republik: 1930 Walther von der Vogelweide,1896,1957,Deutschland,Württemberg,Stuttgart
00138,Aitolische Liga,-220,-196,Griechenland,Aitolien,
00139,Sparta: Kleomenes III.,-254,-219,Griechenland,Lakonien,Sparta
00140,Weimarer Republik: 1931 Stein,1871,1938,Deutschland,,Berlin
00142,Gortyn,-450,-400,Griechenland,Kreta,Gortyn
00143,Weimarer Republik: 1932 Goethe,1871,1938,Deutschland,Brandenburg,Berlin
00144,Gortyn,-350,-270,Griechenland,Kreta,Gortyn
00145,Phaistos,-400,-300,Griechenland,Kreta,Phaistos
00147,Melos,-400,-300,Griechenland,Ägäische Inseln,Melos
00148,Kalymna,-560,-540,Griechenland,Karische Inseln,Kalymna
00149,Rhodos,-408,-395,Griechenland,Karische Inseln,Rhodos
00150,Kyzikos,-550,-480,Türkei,Mysien,Kyzikos
00151,Kyzikos,-480,-470,Türkei,Mysien,Kyzikos
00152,Kyzikos,-510,-490,Türkei,Mysien,Kyzikos
00153,Kyzikos,-480,-410,Türkei,Mysien,Kyzikos
00158,Kyzikos,-430,-410,Türkei,Mysien,Kyzikos
00159,Kyzikos,-450,-400,Türkei,Mysien,Kyzikos
00160,Milet,-360,-340,Türkei,Ionien,Milet
00163,Persischer Satrap: Tarkuwarma-Datames,-378,-372,Türkei,Kilikien,Tarsos
00164,Sidon,-342,-341,Libanon,Phönizien,Sidon (Saida)
00165,Lykien: Ddänävälä/Ddenevele,-410,-390,Türkei,Lykien,Telmessos
00166,Lykien: Mithrapata,-385,-370,Türkei,Lykien,
00167,Drittes Reich: 1933 Luther,1483,1546,Deutschland,Brandenburg,Berlin
00170,Lykien: Perikles,-375,-362,Türkei,Lykien,
00171,Makedonien: Amyntas III.,-393,-369,Griechenland,Makedonien,
00172,Makedonien: Philippos II.,-359,-336,Griechenland,Makedonien,Amphipolis
00173,Lysimachos,-356,-323,Türkei,Thrakien,Lysimacheia
00174,Makedonien: Demetrios Poliorketes,-291,-283,Griechenland,Makedonien,Amphipolis
00175,Makedonien: Philippos V.,-238,-179,Griechenland,Makedonien,
00176,Makedonien: Philippos V.,-238,-179,Griechenland,Makedonien,
00177,Ptolemäer: Ptolemaios (I.),-356,-323,Ägypten,Ägypten,Alexandria
00178,Ptolemäer: Ptolemaios I.,-356,-323,Ägypten,Ägypten,Alexandria
00179,Ptolemäer: Ptolemaios II.,-367,-282,Ägypten,Ägypten,Alexandria
00180,Ptolemäer: Arsinoe II.,-308,-246,Ägypten,Ägypten,Alexandria
00181,Ptolemäer: Ptolemaios III.,-284,-222,Ägypten,Ägypten,Alexandria
00182,Ptolemäer: Ptolemaios V.,-210,-180,Ägypten,Ägypten,Alexandria
00183,Herakleia am Latmos,-170,-140,Türkei,Ionien,Herakleia am Latmos
00184,Kyme,-165,-133,Türkei,Aeolis,Kyme
00185,Lebedos,-150,-140,Türkei,Ionien,Lebedos
00186,Kyrene,-435,-330,Libyen,Kyrenaika,Kyrene
00187,Barke,-435,-310,Libyen,Kyrenaika,Barke
00188,Karthago,-350,-270,Tunesien,Zeugitanien,Karthago
00189,Karthago: Sikulopunier,-310,-300,Italien,Sizilien,Karthago?
00190,Mauretanien: Iuba II.,-50,23,Algerien,Mauretanien,Caesarea (Iol)
00191,Bosporos: Asandros,-36,-17,Ukraine,Bosporos,
00192,Kappadokien: Archelaos,-17,17,Türkei,Kappadokien,Caesarea (Kayseri)
00193,Parther: Phraates IV.,-38,-2,Iran,Parthien,Laodikeia in Medien
00194,Röm. Republik: M. Aurelius Cotta,-139,-139,Italien,Italia,Rom
00195,Röm. Republik: C. Servilius M. filius,-136,-136,Italien,Italia,Rom
00196,Röm. Republik: M. Aurelius Scaurus und L. Licinius und Cn. Domitius,-118,-118,Frankreich,Gallia,Narbonne?
00197,Röm. Republik: N. Fabius Pictor,-126,-126,Italien,Italia,Rom
00198,Röm. Republik: C. Fundanius Q.,-101,-101,Italien,Italia,Rom
00199,Röm. Republik: C. Fundanius,-101,-101,Italien,Italia,Rom
00200,Röm. Republik: C. Servilius,-82,-80,Italien,Italia,Rom
00201,Röm. Republik: P. Lepidus und L. Scribonius Libo,-62,-62,Italien,Italia,Rom
00202,Röm. Republik: M. Iunius Brutus,-85,-42,Italien,Italia,Rom
00204,Röm. Republik: C. Coelius Caldus,-51,-51,Italien,Italia,Rom
00205,Seleukiden: Seleukos I.,-356,-323,Iran,Medien,Ekbatana
00206,Seleukiden: Antiochos III.,-242,-187,Irak,Babylonien,Seleukia am Tigris
00207,Seleukiden: Antiochos IV.,-170,-164,Israel,Phönizien,Ake-Akkon
00208,Seleukiden: Antiochos IV.,-169,-164,Türkei,Syria,Antiochia (Antakya)
00209,Seleukiden: Kleopatra Thea und Antiochos VIII.,-125,-121,Israel,Phönizien,Ake-Akkon
00210,Seleukiden: Antiochos XI. und Philippos I. Philadelphos,-115,-92,Türkei,Kilikien,Tarsos?
00211,Syrakus: Hieron II.,-306,-215,Italien,Sizilien,Syrakus
00212,Syrakus: Hieronymos,-215,-214,Italien,Sizilien,Syrakus
00214,Achulla,-63,14,Tunesien,Byzacene,Achulla
00215,Antiochia am Orontes,-47,9,Türkei,Syria,Antiochia (Antakya)
00217,Sparta: Kleomenes III.,-254,-219,Griechenland,Lakonien,Sparta
00218,Bithynien: Prusias I.,-229,-182,Türkei,Bithynien,
00219,Pontos: Mithradates IV.,-160,-151,Türkei,Pontos,
00220,Kappadokien: Orophernes,-159,-157,Türkei,Ionien,Priene?
00221,Parther: Mithradates I.,-171,-132,Irak,Babylonien,Seleukia am Tigris
00222,Baktrien: Agathokles,-190,-180,Afghanistan,Baktrien,
00223,Baktrien: Eukratides I.,-170,-145,Afghanistan,Baktrien,
00224,Baktrien: Eukratides I.,-170,-145,Afghanistan,Baktrien,
00225,Baktrien: Menandros I.,-155,-130,Afghanistan,Baktrien,
00226,Indoskythen: Azilises I.,-51,-35,Pakistan,Kaschmir,Hazara
00227,Thraker: Mostis,-130,-100,Bulgarien,Thrakien,
00228,Illyrien: Ballaios,-167,-135,,Illyrien,
00229,Bosporos: Pharnakes II.,-53,-47,Ukraine,Bosporos,
00230,"Aiax, Toparch in Kilikien",13,15,Türkei,Kilikien,Olba
00231,Kappadokien: Artaxias,18,19,Türkei,Kappadokien,Caesarea (Kayseri)
00232,Kommagene: Antiochos IV.,38,72,Türkei,Kommagene,
00233,Röm. Republik: M. Lollius Palikanus,-45,-45,Italien,Italia,Rom
00234,Röm. Republik: C. Iulius Caesar und M. Mettius,-100,-44,Italien,Italia,Rom
00235,Röm. Republik: C. Antonius,-43,-43,Griechenland,Makedonien,
00236,Röm. Republik: L. Cestius und C. Norbanus,-43,-43,Italien,Italia,Rom
00237,Röm. Republik: L. Mussidius Longus,-42,-42,Italien,Italia,Rom
00238,Röm. Republik: L. Mussidius Longus,-42,-42,Italien,Italia,Rom
00239,Röm. Republik: Sex. Pompeius Magnus,-106,-48,Italien,Sizilien,
00240,Röm. Republik: C. Numonius Vaala,-41,-41,Italien,Italia,Rom
00241,Röm. Republik: C. Numonius Vaala,-41,-41,Italien,Italia,Rom
00242,"Röm. Republik: M. Barbatius Pollio, M. Antonius und C. Iulius Caesar (Octavianus)",-83,-30,Türkei,Kleinasien,
00243,"Röm. Republik: M. Barbatius Pollio, M. Antonius und C. Iulius Caesar (Octavianus)",-83,-30,Türkei,Kleinasien,
00244,Augustus,-63,14,Frankreich,Gallia,Lyon
00245,Augustus,-63,14,Frankreich,Gallia,Lyon
00246,Nero,37,68,Italien,Italia,Rom
00247,Elis,-360,-340,Griechenland,Elis,Elis
00248,Nero,37,68,Frankreich,Gallia,Lyon
00249,Domitianus,51,96,Italien,Italia,Rom
00250,Domitianus,51,96,Italien,Italia,Rom
00251,Nerva,30,98,Italien,Italia,Rom
00252,Nerva,30,98,Italien,Italia,Rom
00253,Traianus,53,117,Italien,Italia,Rom
00254,Traianus,53,117,Italien,Italia,Rom
00255,Diva Marciana,53,112,Italien,Italia,Rom
00256,Diva Matidia,76,138,Italien,Italia,Rom
00257,Hadrianus,76,138,Italien,Italia,Rom
00258,Hadrianus,76,138,Italien,Italia,Rom
00259,Antoninus Pius,86,161,Italien,Italia,Rom
00260,Antoninus Pius,86,161,Italien,Italia,Rom
00261,Diva Faustina (Maior),86,161,Italien,Italia,Rom
00262,Diva Faustina (Maior),86,161,Italien,Italia,Rom
00263,Antoninus Pius,86,161,Italien,Italia,Rom
00264,Marcus Aurelius,121,180,Italien,Italia,Rom
00265,Marcus Aurelius,121,180,Italien,Italia,Rom
00266,Marcus Aurelius,121,180,Italien,Italia,Rom
00267,Commodus,161,192,Italien,Italia,Rom
00268,Commodus,161,192,Italien,Italia,Rom
00269,Septimius Severus,146,211,Italien,Italia,Rom
00270,Septimius Severus,146,211,Italien,Italia,Rom
00271,Iulia Domna,170,217,Italien,Italia,Rom
00272,Iulia Domna,170,217,Italien,Italia,Rom
00273,Macrinus,164,218,Italien,Italia,Rom
00274,Macrinus,164,218,Italien,Italia,Rom
00275,Elagabalus,203,222,Italien,Italia,Rom
00276,Elagabalus,203,222,Italien,Italia,Rom
00278,Iulia Mamaea,208,235,Italien,Italia,Rom
00279,Iulia Mamaea,208,235,Italien,Italia,Rom
00280,Maximinus Thrax,172,238,Italien,Italia,Rom
00281,Maximinus Thrax,172,238,Italien,Italia,Rom
00282,Gordianus III.,225,244,Italien,Italia,Rom
00283,Gordianus III.,225,244,Italien,Italia,Rom
00284,Traianus Decius,190,251,Italien,Italia,Rom
00285,Traianus Decius,190,251,Italien,Italia,Rom
00286,Gallienus,213,268,Italien,Italia,Rom
00287,Gallienus,213,268,Italien,Italia,Rom
00294,Constantinus I.,316,337,Italien,Italia,Ticinum-Pavia
00295,Spotttaler auf das Augsburger Interim,1549,1549,Deutschland,Ostfriesland,Jever
00296,Constantinus I.,320,337,Großbritannien,Britannien,London
00297,Constantinus I.,318,337,Italien,Italia,Ticinum-Pavia
00298,Constantinus I.,319,337,Kroatien,Pannonien,Siscia (Sisak)
00299,Constantinus II.,317,340,Griechenland,Makedonien,Thessaloniki
00300,Constantinus I.,327,337,Türkei,Thrakien,Konstantinopolis (Istanbul)
00301,Constantinus I.,334,337,Italien,Italia,Aquileia
00302,Constantinus II.,317,340,Kroatien,Pannonien,Siscia (Sisak)
00303,Constans,320,350,Italien,Italia,Aquileia
00304,Constantius II.,317,361,Italien,Italia,Rom
00305,Magnentius,301,353,Deutschland,Gallia,Trier
00306,Constantius II.,317,361,Deutschland,Gallia,Trier
00307,Vetranio,350,356,Kroatien,Pannonien,Siscia (Sisak)
00308,Vetranio,350,356,Kroatien,Pannonien,Siscia (Sisak)
00309,Valentinianus I.,321,375,Türkei,Oriens,Antiochia (Antakya)
00310,Valens,328,378,Frankreich,Gallia,Arles
00311,Valentinianus I.,321,375,Deutschland,Gallia,Trier
00312,Valens,328,378,Türkei,Oriens,Antiochia (Antakya)
00313,Aelia Flaccilla,347,386,Türkei,Thrakien,Konstantinopolis (Istanbul)
00314,Aelia Eudoxia,377,404,Türkei,Thrakien,Konstantinopolis (Istanbul)
00315,Arcadius,377,408,Türkei,Thrakien,Konstantinopolis (Istanbul)
00316,Honorius,384,423,Türkei,Thrakien,Konstantinopolis (Istanbul)
00317,Honorius,384,423,Italien,Italia,Ravenna
00318,Ptolemäer: Ptolemaios II.,-367,-282,Libanon,Phönizien,Tyros (Sur)
00319,Syrakus: Hieronymos,-215,-214,Italien,Sizilien,Syrakus
00320,Septimius Severus,146,211,Italien,Italia,Rom
00321,Persischer Satrap: Pixodaros,-340,-334,Türkei,Karien,
00322,Elis,-350,-323,Griechenland,Elis,Elis
00323,Tenedos,-189,-100,Türkei,Inseln der Troas,Tenedos
00324,Samos,213,268,Griechenland,Ionische Inseln,Samos
00325,Faustina (Minor),121,180,Italien,Italia,Rom
00326,Röm. Republik: L. Roscius Fabatus,-64,-64,Italien,Italia,Rom
00327,Velia,-340,-310,Italien,Lukanien,Velia
00328,Athen,-136,-135,Griechenland,Attika,Athen
00329,Makedonien: Antigonos Gonatas,-319,-239,Griechenland,Makedonien,Amphipolis
00330,Hadrianus,76,138,Italien,Italia,Rom
00331,Pergamon,-336,-320,Türkei,Mysien,Pergamon
00332,Poseidonia,-530,-500,Italien,Lukanien,Poseidonia-Paestum
00333,Brettii,-210,-210,Italien,Bruttium,Lokroi Epizephyrioi
00334,Rhaukos,-320,-270,Griechenland,Kreta,Rhaukos
00335,Hadrianus,76,138,Italien,Italia,Rom
00336,Kuschan: Vasudeva I.,190,225,Afghanistan,Gandhara,
00337,Syros,-150,-150,Griechenland,Ägäische Inseln,Syros
00338,Metapont,-375,-375,Italien,Lukanien,Metapont
00339,Kyzikos,-390,-340,Türkei,Mysien,Kyzikos
00340,Sabina,86,136,Italien,Italia,Rom
00348,Kyzikos,86,161,Türkei,Mysien,Kyzikos
00349,Katane,-415,-404,Italien,Sizilien,Katane
00350,Abdera,-475,-450,Griechenland,Thrakien,Abdera
00351,Kroton,-350,-300,Italien,Bruttium,
00352,Antoninus Pius,86,161,Italien,Italia,Rom
00353,Myrina,-150,-150,Türkei,Aeolis,Myrina
00354,Aitolische Liga,-220,-196,Griechenland,Aitolien,
00355,Ephesos,-258,-202,Türkei,Ionien,Ephesos
00356,Selinunt,-470,-440,Italien,Sizilien,Selinunt
00357,Hadrianus,76,138,Italien,Italia,Rom
00358,Pergamon,213,268,Türkei,Mysien,Pergamon
00359,Maroneia,-189,-45,Griechenland,Thrakien,Maroneia
00360,Röm. Republik: L. Cassius Longinus,-78,-78,Italien,Italia,Rom
00376,Naxos,-430,-420,Italien,Sizilien,Naxos
00377,Naxos,-530,-490,Italien,Sizilien,Naxos
00378,Röm. Republik: M. Antonius,-83,-30,Türkei,Ionien,Ephesos?
00379,Knidos,-465,-449,Türkei,Karien,Knidos
00381,Eryx,-410,-400,Italien,Sizilien,Eryx
00403,Deutsche Demokratische Republik: 1966 Leibniz,1933,2011,Deutschland,Brandenburg,Berlin
00406,Deutsche Demokratische Republik: 1966 Schinkel,1936,2014,Deutschland,Brandenburg,Berlin
00417,Theodosius II.,401,450,Türkei,Thrakien,Konstantinopolis (Istanbul)
00418,Valentinianus III.,419,455,Türkei,Thrakien,Konstantinopolis (Istanbul)
00419,Valentinianus III.,419,455,Italien,Italia,Ravenna
00420,Valentinianus III.,419,455,Italien,Italia,Ravenna
00421,Valentinianus III.,419,455,Italien,Italia,Rom?
00422,Licinia Eudoxia,422,493,Italien,Italia,Ravenna
00423,Galla Placidia,419,450,Italien,Italia,Ravenna
00424,Galla Placidia,419,450,Italien,Italia,Ravenna
00425,Theodosius II.,401,450,Türkei,Thrakien,Konstantinopolis (Istanbul)
00426,Leo I.,462,474,Griechenland,Makedonien,Thessaloniki
00427,Anthemius,467,472,Italien,Italia,Rom
00428,Athen,-410,-400,Griechenland,Attika,Athen
00429,Athen,-295,-294,Griechenland,Attika,Athen
00430,Caracalla,188,217,Italien,Italia,Rom
00431,Gallienus,213,268,Italien,Italia,Rom
00432,Seleukiden: Seleukos VI.,-120,-95,Türkei,Syria,Antiochia (Antakya)
00433,Caracalla,188,217,Italien,Italia,Rom
00434,Caracalla,188,217,Italien,Italia,Rom
00435,Röm. Republik: L. Memmius Galeria,-106,-106,Italien,Italia,Rom
00436,Röm. Republik: L. Memmius Galeria,-106,-106,Italien,Italia,Rom
00437,Severus Alexander,208,235,Italien,Italia,Rom
00438,Severus Alexander,208,235,Italien,Italia,Rom
00439,Lysimachos,-356,-323,Türkei,Thrakien,Lysimacheia
00440,Lysimachos: Nachahmung,-297,-200,Bulgarien,Thrakien,
00441,Augustus,-63,14,Frankreich,Gallia,Lyon
00442,Augustus: Nachahmung,-63,14,Deutschland,,
00443,Röm. Republik: Considius Nonianus,-57,-57,Italien,Italia,Rom
00444,Augustus,-63,14,Spanien,Hispania,Augusta Emerita (Mérida)
00445,Nero,37,68,Frankreich,Gallia,Lyon
00446,Titus,39,81,Italien,Italia,Rom
00447,Traianus,53,117,Italien,Italia,Rom
00448,Antoninus Pius,86,161,Italien,Italia,Rom
00449,Caracalla,188,217,Italien,Italia,Rom
00450,Constantinus I.,313,337,Deutschland,Gallia,Trier
00451,Sidon,-420,-410,Libanon,Phönizien,Sidon (Saida)
00452,Seleukiden: Antiochos VIII.,-121,-96,Türkei,Kilikien,Tarsos
00454,Claudius,-10,54,Türkei,Asia,Ephesos?
00455,Alexandria: Antoninus Pius,86,161,Ägypten,Ägypten,Alexandria
00456,Byblos,164,218,Libanon,Phönizien,Byblos (Jbeil)
00458,Antiochia am Mäander,213,268,Türkei,Karien,Antiochia am Mäander
00459,Bizye,204,249,Türkei,Thrakien,Bizye
00460,Deutsche Demokratische Republik: 1990 Brandenburger Tor,1932,2008,Deutschland,Brandenburg,Berlin
00461,Kaiserreich: 1917 Reformationsjubiläum,1463,1525,Deutschland,Sachsen,Muldenhütten
00462,Nerva,30,98,Italien,Italia,Rom
00463,Traianus,53,117,Italien,Italia,Rom
00464,Hadrianus,76,138,Italien,Italia,Rom
00465,Röm. Republik: T. Carisius,-46,-46,Italien,Italia,Rom
00466,Traianus: Restitution,53,117,Italien,Italia,Rom
00467,Bundesrepublik Deutschland: 1952 Germanisches Nationalmuseum,1952,1952,Deutschland,Bayern,München
00468,Bundesrepublik Deutschland: 1955 Schiller,1885,1968,Deutschland,Baden-Württemberg,Stuttgart
00470,Bundesrepublik Deutschland: 1979 Deutsches Archäologisches Institut,1979,1979,Deutschland,,Hamburg
00471,Ikos,-200,-100,Griechenland,Inseln vor Thessalien,Ikos
00472,Bundesrepublik Deutschland: 1991 Brandenburger Tor,1944,1991,Deutschland,,Berlin
00473,Danzig: 1923,1879,1944,Deutschland,Brandenburg,Berlin
00474,Bundesrepublik Deutschland: 1999 Grundgesetz,1999,1999,Deutschland,Bayern,München
00475,Bundesrepublik Deutschland: 2002 Museumsinsel,1943,2002,Deutschland,Brandenburg,Berlin
00477,Röm. Republik: L. Aurelius Cotta,-105,-105,Italien,Italia,Rom
00478,Paestum,-100,-75,Italien,Lukanien,Poseidonia-Paestum
00479,Trapezus,-400,-300,Türkei,Pontos,Trapezus
00480,Paestum,-90,-40,Italien,Lukanien,Poseidonia-Paestum
00481,Paestum,-90,-40,Italien,Lukanien,Poseidonia-Paestum
00482,Claudius,-10,54,Italien,Italia,Rom
00484,Pautalia,188,217,Bulgarien,Thrakien,Pautalia (Kyustendil)
00485,Tarsos,188,217,Türkei,Kilikien,Tarsos
00486,Hadrianus,76,138,Italien,Italia,Rom
00487,Perge,213,268,Türkei,Pamphylien,Perge
00488,Septimius Severus,146,211,Italien,Italia,Rom
00489,Sikyon,-400,-370,Griechenland,Achaia,Sikyon
00490,Lucilla,149,181,Italien,Italia,Rom
00491,Koinon von Zypern,188,217,Zypern,Zypern,
00492,Ainos,-478,-450,Türkei,Thrakien,Ainos
00493,Ainos,-478,-450,Türkei,Thrakien,Ainos
00494,Pheneos,-360,-340,Griechenland,Arkadien,Pheneos
00495,Röm. Republik: C. Mamilius Limetanus,-82,-82,Italien,Italia,Rom
00496,Heliopolis (Baalbek),204,249,Libanon,Syria,Baalbek
00497,Kyzikos,-400,-330,Türkei,Mysien,Kyzikos
00498,Kyzikos,-400,-330,Türkei,Mysien,Kyzikos
00499,Pantikapaion,-400,-300,Ukraine,Taurische Chersonesos,Pantikapaion
00500,Pantikapaion,-400,-300,Ukraine,Taurische Chersonesos,Pantikapaion
00501,Arkadischer Bund,-370,-360,Griechenland,Arkadien,
00502,Traianus Decius,190,251,Italien,Italia,Rom
00503,Numerianus,253,284,Italien,Italia,Rom
00504,Antoninus Pius,86,161,Italien,Italia,Rom
00505,Septimius Severus,146,211,Italien,Italia,Rom
00506,Domitianus,51,96,Italien,Italia,Rom
00507,Diocletianus,245,313,Italien,Italia,Aquileia
00509,Philadelpheia,170,217,Türkei,Lydien,Philadelpheia
00510,Perinthos,188,217,Türkei,Thrakien,Perinthos (Herakleia)
